timestamp,zone,temperature,rainfall_mm,condition
2026-09-24 10:00:00,Zone A,30.3,0.4,Clear
2026-09-24 10:00:00,Zone B,29.4,1.4,Cloudy
2026-09-24 10:00:00,Zone C,31.4,0.4,Clear
2026-09-24 10:15:00,Zone A,30.9,1.0,Cloudy
2026-09-24 10:15:00,Zone B,28.7,0.8,Cloudy
2026-09-24 10:15:00,Zone C,31.2,0.2,Clear
2026-09-24 10:30:00,Zone A,30.1,0.0,Clear
2026-09-24 10:30:00,Zone B,28.0,0.2,Clear
2026-09-24 10:30:00,Zone C,30.9,0.7,Cloudy
2026-09-24 10:45:00,Zone A,29.5,0.0,Clear
2026-09-24 10:45:00,Zone B,29.9,0.4,Clear
2026-09-24 10:45:00,Zone C,31.5,0.0,Clear
2026-09-24 11:00:00,Zone A,29.7,0.6,Cloudy
2026-09-24 11:00:00,Zone B,28.3,0.7,Cloudy
2026-09-24 11:00:00,Zone C,31.1,0.3,Clear
2026-09-24 11:15:00,Zone A,29.6,1.6,Cloudy
2026-09-24 11:15:00,Zone B,29.0,0.0,Clear
2026-09-24 11:15:00,Zone C,32.0,0.0,Clear
2026-09-24 11:30:00,Zone A,30.1,0.0,Clear
2026-09-24 11:30:00,Zone B,28.2,0.6,Cloudy
2026-09-24 11:30:00,Zone C,31.9,0.6,Cloudy
2026-09-24 11:45:00,Zone A,29.9,0.3,Clear
2026-09-24 11:45:00,Zone B,28.1,0.1,Clear
2026-09-24 11:45:00,Zone C,31.2,1.1,Cloudy
2026-09-24 12:00:00,Zone A,30.2,0.0,Clear
2026-09-24 12:00:00,Zone B,29.2,0.3,Clear
2026-09-24 12:00:00,Zone C,31.1,0.9,Cloudy
2026-09-24 12:15:00,Zone A,30.6,1.1,Cloudy
2026-09-24 12:15:00,Zone B,28.5,0.3,Clear
2026-09-24 12:15:00,Zone C,31.7,1.1,Cloudy
2026-09-24 12:30:00,Zone A,29.7,4.4,Light Rain
2026-09-24 12:30:00,Zone B,29.5,1.3,Cloudy
2026-09-24 12:30:00,Zone C,31.5,1.1,Cloudy
2026-09-24 12:45:00,Zone A,27.2,12.7,Heavy Rain
2026-09-24 12:45:00,Zone B,31.0,0.0,Clear
2026-09-24 12:45:00,Zone C,31.3,0.5,Cloudy
2026-09-24 13:00:00,Zone A,25.8,27.6,Heavy Rain
2026-09-24 13:00:00,Zone B,28.7,0.0,Clear
2026-09-24 13:00:00,Zone C,31.0,0.9,Cloudy
2026-09-24 13:15:00,Zone A,26.5,22.4,Heavy Rain
2026-09-24 13:15:00,Zone B,29.3,1.2,Cloudy
2026-09-24 13:15:00,Zone C,31.7,0.7,Cloudy
2026-09-24 13:30:00,Zone A,28.7,33.4,Heavy Rain
2026-09-24 13:30:00,Zone B,28.8,0.3,Clear
2026-09-24 13:30:00,Zone C,32.3,0.3,Clear
2026-09-24 13:45:00,Zone A,26.2,6.6,Light Rain
2026-09-24 13:45:00,Zone B,28.9,0.7,Cloudy
2026-09-24 13:45:00,Zone C,32.6,0.6,Cloudy
2026-09-24 14:00:00,Zone A,27.7,9.6,Light Rain
2026-09-24 14:00:00,Zone B,28.4,0.0,Clear
2026-09-24 14:00:00,Zone C,31.6,0.2,Clear
2026-09-24 14:15:00,Zone A,29.6,4.0,Light Rain
2026-09-24 14:15:00,Zone B,28.7,0.2,Clear
2026-09-24 14:15:00,Zone C,31.7,0.5,Cloudy
2026-09-24 14:30:00,Zone A,30.5,0.0,Clear
2026-09-24 14:30:00,Zone B,28.5,1.0,Cloudy
2026-09-24 14:30:00,Zone C,31.0,1.3,Cloudy
2026-09-24 14:45:00,Zone A,30.8,1.3,Cloudy
2026-09-24 14:45:00,Zone B,28.5,0.5,Cloudy
2026-09-24 14:45:00,Zone C,31.2,1.1,Cloudy
2026-09-24 15:00:00,Zone A,31.0,1.0,Cloudy
2026-09-24 15:00:00,Zone B,29.0,0.3,Clear
2026-09-24 15:00:00,Zone C,31.9,0.0,Clear
2026-09-24 15:15:00,Zone A,30.3,0.0,Clear
2026-09-24 15:15:00,Zone B,29.4,0.4,Clear
2026-09-24 15:15:00,Zone C,31.3,0.0,Clear
2026-09-24 15:30:00,Zone A,29.8,0.8,Cloudy
2026-09-24 15:30:00,Zone B,29.6,0.8,Cloudy
2026-09-24 15:30:00,Zone C,32.3,2.0,Light Rain
2026-09-24 15:45:00,Zone A,29.8,0.4,Clear
2026-09-24 15:45:00,Zone B,28.1,1.2,Cloudy
2026-09-24 15:45:00,Zone C,32.3,0.0,Clear
